player_id,balls_bowled,runs_conceded,wickets,overs_bowled,balls_pp,runs_pp,wickets_pp,balls_middle,runs_middle,wickets_middle,balls_death,runs_death,wickets_death,pace_count,spin_count,eco_overall,eco_pp,eco_middle,eco_death,sr_overall,wk_rate,pct_pace
26988,25,32,0,4.1,6,11,0,6,3,0,13,18,0,25,0,7.68,11.0,3.0,8.307692307692307,0,0.0,1.0
2643,19,33,0,3.1,0,0,0,19,33,0,0,0,0,0,19,10.421052631578949,0.0,10.421052631578949,0.0,0,0.0,0.0
3871,18,31,0,3.0,0,0,0,12,18,0,6,13,0,0,18,10.333333333333334,0.0,9.0,13.0,0,0.0,0.0
28655,7,14,0,1.1,7,14,0,0,0,0,0,0,0,7,0,12.0,12.0,0.0,0.0,0,0.0,1.0
4974,7,16,0,1.1,7,16,0,0,0,0,0,0,0,7,0,13.714285714285714,13.714285714285714,0.0,0.0,0,0.0,1.0
2972,24,27,0,4.0,0,0,0,24,27,0,0,0,0,0,24,6.75,0.0,6.75,0.0,0,0.0,0.0
7344,12,17,0,2.0,12,17,0,0,0,0,0,0,0,12,0,8.5,8.5,0.0,0.0,0,0.0,1.0
6350,48,67,0,8.0,0,0,0,42,56,0,6,11,0,0,48,8.375,0.0,8.0,11.0,0,0.0,0.0
3550,12,25,0,2.0,0,0,0,12,25,0,0,0,0,0,12,12.5,0.0,12.5,0.0,0,0.0,0.0
4221,24,36,0,4.0,6,14,0,18,22,0,0,0,0,0,24,9.0,14.0,7.333333333333334,0.0,0,0.0,0.0
2863,19,22,0,3.1,6,2,0,13,20,0,0,0,0,19,0,6.947368421052632,2.0,9.230769230769232,0.0,0,0.0,1.0
6819,6,11,0,1.0,0,0,0,0,0,0,6,11,0,0,6,11.0,0.0,0.0,11.0,0,0.0,0.0
8009,7,15,0,1.1,7,15,0,0,0,0,0,0,0,7,0,12.857142857142858,12.857142857142858,0.0,0.0,0,0.0,1.0
28756,6,10,0,1.0,6,10,0,0,0,0,0,0,0,0,6,10.0,10.0,0.0,0.0,0,0.0,0.0
4708,6,3,0,1.0,0,0,0,0,0,0,6,3,0,0,6,3.0,0.0,0.0,3.0,0,0.0,0.0
27466,7,12,0,1.1,7,12,0,0,0,0,0,0,0,0,7,10.285714285714285,10.285714285714285,0.0,0.0,0,0.0,0.0
4106,13,14,0,2.1,0,0,0,0,0,0,13,14,0,13,0,6.461538461538462,0.0,0.0,6.461538461538462,0,0.0,1.0
4895,12,18,0,2.0,0,0,0,12,18,0,0,0,0,0,12,9.0,0.0,9.0,0.0,0,0.0,0.0
7201,21,50,0,3.3,15,24,0,0,0,0,6,26,0,21,0,14.285714285714285,9.600000000000001,0.0,26.0,0,0.0,1.0
2416,13,15,0,2.1,6,4,0,7,11,0,0,0,0,13,0,6.9230769230769225,4.0,9.428571428571429,0.0,0,0.0,1.0
27364,3,6,0,0.3,3,6,0,0,0,0,0,0,0,0,3,12.0,12.0,0.0,0.0,0,0.0,0.0
1699,6,5,0,1.0,0,0,0,0,0,0,6,5,0,0,6,5.0,0.0,0.0,5.0,0,0.0,0.0
3647,2,2,0,0.2,0,0,0,0,0,0,2,2,0,0,2,6.0,0.0,0.0,6.0,0,0.0,0.0
