player_id,balls,runs,fours,sixes,dismissals,innings_count,balls_powerplay,runs_powerplay,balls_middle_bat,runs_middle_bat,balls_death_bat,runs_death_bat,sr_overall_bat,sr_powerplay,sr_middle,sr_death,boundary_pct_overall,not_out_rate,balls_bowled,runs_conceded,wickets,overs_bowled,balls_pp,runs_pp,wickets_pp,balls_middle_bowl,runs_middle_bowl,wickets_middle,balls_death_bowl,runs_death_bowl,wickets_death,pace_count,spin_count,eco_overall,eco_pp,eco_middle,eco_death,sr_overall_bowl,wk_rate,pct_pace,player_name,bowling_type,batting_type,wicket_keeper,date_of_birth,striker_name,batting_impact_score,bowler_name,bowling_impact_score,pct_death_balls_bat,pct_death_balls_bowl,batting_role,bowling_role,combined_impact
2315,8.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,112.5,0.0,0.0,112.5,0.0,1.0,50.0,54.0,0.0,8.2,32.0,41.0,0.0,6.0,5.0,0.0,12.0,8.0,0.0,50.0,0.0,6.48,7.6875,5.0,4.0,0.0,0.0,1.0,Reece Topley,Left-arm medium-fast,Right-hand bat,0,21/02/94,,,,,0.0,0.0,Batter,Powerplay,
2320,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,100.0,0.0,1.0,77.0,93.0,0.0,12.5,37.0,58.0,0.0,13.0,18.0,0.0,27.0,17.0,0.0,77.0,0.0,7.246753246753247,9.405405405405405,8.307692307692307,3.7777777777777777,0.0,0.0,1.0,Trent Boult,Left-arm fast-medium,Right-hand bat,0,22/07/89,,,,,0.0,0.0,Batter,Powerplay,
23311,31.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,27.0,20.0,4.0,3.0,74.19354838709677,0.0,74.07407407407408,75.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Jacob Bethell,Slow left-arm orthodox,Left-hand bat,0,23/10/03,,,,,0.0,0.0,Batter,MiddleOvers,
2334,42.0,53.0,0.0,0.0,0.0,4.0,30.0,40.0,12.0,13.0,0.0,0.0,126.19047619047619,133.33333333333331,108.33333333333333,0.0,0.0,1.0,119.0,163.0,0.0,19.5,18.0,21.0,0.0,55.0,61.0,0.0,46.0,81.0,0.0,119.0,0.0,8.218487394957982,7.0,6.654545454545454,10.565217391304348,0.0,0.0,1.0,Dwaine Pretorius,Right-arm medium-fast,Right-hand bat,0,29/03/89,,,,,0.0,0.0,Batter,MiddleOvers,
2351,39.0,39.0,0.0,0.0,0.0,3.0,24.0,14.0,15.0,25.0,0.0,0.0,100.0,58.333333333333336,166.66666666666669,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Danushka Gunathilaka,Right-arm offbreak,Left-hand bat,0,17/03/91,,,,,0.0,0.0,Batter,MiddleOvers,
2361,78.0,64.0,0.0,0.0,0.0,7.0,66.0,49.0,12.0,15.0,0.0,0.0,82.05128205128204,74.24242424242425,125.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Temba Bavuma,Right-arm medium,Right-hand bat,0,17/05/90,,,,,0.0,0.0,Batter,MiddleOvers,
2367,73.0,128.0,0.0,0.0,0.0,5.0,73.0,128.0,0.0,0.0,0.0,0.0,175.34246575342465,175.34246575342465,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Travis Head,Right-arm offbreak,Left-hand bat,0,29/12/93,,,,,0.0,0.0,Batter,MiddleOvers,
2379,59.0,97.0,0.0,0.0,0.0,5.0,48.0,85.0,11.0,12.0,0.0,0.0,164.40677966101697,177.08333333333331,109.09090909090908,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Ben Duckett,Right-arm offbreak,Left-hand bat,0,17/10/94,,,,,0.0,0.0,Batter,MiddleOvers,
2382,31.0,27.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,8.0,15.0,19.0,87.09677419354838,0.0,50.0,126.66666666666666,0.0,1.0,91.0,125.0,0.0,15.1,6.0,25.0,0.0,56.0,58.0,0.0,29.0,42.0,0.0,91.0,0.0,8.241758241758241,25.0,6.214285714285715,8.689655172413794,0.0,0.0,1.0,Jamie Overton,Right-arm fast-medium,Right-hand bat,0,10/04/94,,,,,0.0,0.0,Batter,MiddleOvers,
2399,19.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,25.0,131.57894736842107,0.0,0.0,131.57894736842107,0.0,1.0,167.0,191.0,0.0,27.5,82.0,79.0,0.0,13.0,13.0,0.0,72.0,99.0,0.0,167.0,0.0,6.862275449101796,5.780487804878049,6.0,8.25,0.0,0.0,1.0,Dushmantha Chameera,Right-arm Fast,Right-hand bat,0,11/01/92,,,,,0.0,0.0,Batter,Powerplay,
2407,97.0,105.0,0.0,0.0,0.0,6.0,18.0,20.0,62.0,63.0,17.0,22.0,108.24742268041237,111.11111111111111,101.61290322580645,129.41176470588235,0.0,1.0,18.0,19.0,0.0,3.0,0.0,0.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,18.0,6.333333333333334,0.0,6.333333333333334,0.0,0.0,0.0,0.0,Dhananjaya de Silva,Right-arm offbreak,Right-hand bat,0,06/09/91,,,,,0.0,0.0,Batter,Spin,
2416,174.0,224.0,0.0,0.0,0.0,12.0,130.0,170.0,39.0,42.0,5.0,12.0,128.73563218390805,130.76923076923077,107.6923076923077,240.0,0.0,1.0,13.0,15.0,0.0,2.1,6.0,4.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,13.0,0.0,6.9230769230769225,4.0,9.428571428571429,0.0,0.0,0.0,1.0,Kyle Mayers,Right-arm medium,Left-hand bat,0,08/09/92,,,,,0.0,0.0,Batter,Powerplay,
2417,51.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,38.0,24.0,13.0,21.0,88.23529411764706,0.0,63.1578947368421,161.53846153846155,0.0,1.0,271.0,281.0,0.0,45.1,99.0,105.0,0.0,166.0,167.0,0.0,6.0,9.0,0.0,0.0,271.0,6.22140221402214,6.363636363636363,6.0361445783132535,9.0,0.0,0.0,0.0,Akeal Hosein,Slow left-arm orthodox,Left-hand bat,0,25/04/93,,,,,0.0,0.0,Batter,Powerplay,
2436,194.0,322.0,0.0,0.0,0.0,12.0,4.0,0.0,79.0,85.0,111.0,237.0,165.979381443299,0.0,107.59493670886076,213.51351351351352,0.0,1.0,114.0,133.0,0.0,19.0,6.0,12.0,0.0,64.0,72.0,0.0,44.0,49.0,0.0,114.0,0.0,7.0,12.0,6.75,6.681818181818182,0.0,0.0,1.0,Dasun Shanaka,Right-arm medium,Right-hand bat,0,09/09/91,,,,,0.0,0.0,Batter,MiddleOvers,
2439,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,100.0,0.0,1.0,68.0,77.0,0.0,11.2,19.0,37.0,0.0,42.0,35.0,0.0,7.0,5.0,0.0,0.0,68.0,6.794117647058823,11.68421052631579,5.0,4.285714285714286,0.0,0.0,0.0,Akila Dananjaya,Right-arm offbreak,Left-hand bat,0,04/10/93,,,,,0.0,0.0,Batter,Powerplay,
2483,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,74.0,0.0,7.4,19.0,30.0,0.0,14.0,24.0,0.0,13.0,20.0,0.0,46.0,0.0,9.652173913043478,9.473684210526315,10.285714285714285,9.230769230769232,0.0,0.0,1.0,Lizaad Williams,Right-arm medium-fast,Left-hand bat,0,01/10/93,,,,,0.0,0.0,Batter,Powerplay,
2485,21.0,24.0,0.0,0.0,0.0,2.0,21.0,24.0,0.0,0.0,0.0,0.0,114.28571428571428,114.28571428571428,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Babar Azam,Right-arm offbreak,Right-hand bat,0,15/10/94,,,,,0.0,0.0,Batter,MiddleOvers,
2490,54.0,70.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,48.0,26.0,22.0,129.62962962962962,0.0,171.42857142857142,84.61538461538461,0.0,1.0,70.0,91.0,0.0,11.4,12.0,21.0,0.0,54.0,63.0,0.0,4.0,7.0,0.0,0.0,70.0,7.800000000000001,10.5,7.0,10.5,0.0,0.0,0.0,Mohammad Nawaz,Slow left-arm orthodox,Left-hand bat,0,21/03/94,,,,,0.0,0.0,Batter,Spin,
250,35.0,60.0,0.0,0.0,0.0,3.0,35.0,60.0,0.0,0.0,0.0,0.0,171.42857142857142,171.42857142857142,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Aaron Finch,Slow left-arm orthodox,Right-hand bat,0,17/11/86,,,,,0.0,0.0,Batter,MiddleOvers,
25048,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,250.0,0.0,0.0,250.0,0.0,1.0,120.0,176.0,0.0,20.0,21.0,20.0,0.0,65.0,97.0,0.0,34.0,59.0,0.0,120.0,0.0,8.799999999999999,5.7142857142857135,8.953846153846154,10.411764705882353,0.0,0.0,1.0,Umran Malik,Right-arm medium,Right-hand bat,0,22/11/99,,,,,0.0,0.0,Batter,MiddleOvers,
25128,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,166.66666666666669,0.0,0.0,166.66666666666669,0.0,1.0,43.0,54.0,0.0,7.1,0.0,0.0,0.0,31.0,39.0,0.0,12.0,15.0,0.0,0.0,43.0,7.534883720930233,0.0,7.548387096774194,7.5,0.0,0.0,0.0,Nqabayomzi Peter,Right-arm Leg-Break,Right-hand bat,0,09/12/01,,,,,0.0,0.0,Batter,Spin,
25216,22.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,14.0,5.0,6.0,90.9090909090909,0.0,82.35294117647058,120.0,0.0,1.0,69.0,125.0,0.0,11.3,26.0,54.0,0.0,31.0,48.0,0.0,12.0,23.0,0.0,69.0,0.0,10.869565217391305,12.461538461538463,9.29032258064516,11.5,0.0,0.0,1.0,Andile Simelane,Right-arm Fast,Right-hand bat,0,03/01/03,,,,,0.0,0.0,Batter,Powerplay,
25231,,,,,,,,,,,,,,,,,,,14.0,21.0,0.0,2.2,0.0,0.0,0.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,Samay Shrivastava,Right-arm Leg-Break,Right-hand bat,0,13/03/91,,,,,0.0,0.0,Batter,Spin,
2526,19.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,8.0,9.0,3.0,57.89473684210527,0.0,80.0,33.33333333333333,0.0,1.0,134.0,177.0,0.0,22.2,0.0,0.0,0.0,128.0,173.0,0.0,6.0,4.0,0.0,0.0,134.0,7.925373134328358,0.0,8.109375,4.0,0.0,0.0,0.0,Ish Sodhi,Right-arm Leg-Break,Right-hand bat,0,31/10/92,,,,,0.0,0.0,Batter,Spin,
2533,40.0,47.0,0.0,0.0,0.0,4.0,2.0,0.0,13.0,4.0,25.0,43.0,117.5,0.0,30.76923076923077,172.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Najibullah Zadran,Right-arm offbreak,Left-hand bat,0,28/02/93,,,,,0.0,0.0,Batter,MiddleOvers,
