player_id,player_name,role_for_score,SelectionScore,career_batting_runs,career_bat_avg_safe,career_bat_sr_safe,career_bowling_wickets,career_bow_econ_safe,venue_fit_score,runs_slope,wk_slope,career_matches_played
5659,Abhishek Tanwar,finishing allrounder,0.7482854452114955,323,323,156.03864734299518,61,7.674418604651163,2.6628725760164333,-13.1,0.3000000000000003,40
42847,Dhanraj Shinde,finisher,0.7474999999999999,636,636,189.28571428571428,,4,3,-20,0,42
20021,Hardeep Singh,finisher,0.7474999999999999,671,671,183.33333333333334,0,6,3,20,0,37
4210,Jafar Jamal,finisher,0.7468865188639205,480,480,134.45378151260505,,4,3,20,0,25
6455,Ninad Rathva,batting allrounder,0.7460474081400936,412,412,135.52631578947367,17,6.778761061946903,2.302881196386096,20,0.9999999999999998,29
58135,Tejasvi Dahiya,top/middle,0.7450000000000001,547,547,173.65079365079364,,4,3,20,0,20
6265,S Sujay,top/middle,0.7434122510973215,491,491,104.46808510638297,,4,3,20,0,27
7731,Neyan Shyam Kangayan,opener,0.742424464,632,632,120.61068702290076,,4,3,20,0,24
5991,Dharmendrasinh Jadeja,finishing allrounder,0.7415405503774416,184,184,126.89655172413794,35,6.5244215938303345,3,6.000000000000001,0.6000000000000004,37
51078,Adarsh Singh,top/middle,0.7411604539649648,660,660,127.65957446808511,,4,3,20,0,23
20801,Akshay Manohar,batting allrounder,0.7384842015589236,609,609,122.28915662650603,4,6.5064935064935066,3,20,-1,30
7134,Luvnith Sisodia,opener,0.7384575142408005,1314,1314,150.86107921928817,,4,3,-20,0,44
20886,Nikhil Thottath,finisher,0.7377833036997739,512,512,135.09234828496042,,4,3,12.999999999999996,0,27
2218,Anamul Haque,top/middle,0.7369432847741036,1282,1282,120.0374531835206,,4,2.580377356844959,11.999999999999996,0,50
2213,Soumya Sarkar,top/middle,0.7363283921091724,844,844,109.6103896103896,9,8.815789474,3,20,0.10000000000000007,53
31707,Rithik S,finisher,0.7362610788719114,450,450,140.18691588785046,,4,3,11.799999999999999,0,31
18161,Bhanu Anand,opener,0.7357481825156176,826,826,126.88172043010752,,4,3,20,0,24
42839,Siddharth Mhatre,finisher,0.7357065687344646,629,629,139.46784922394679,9,8.106870229007633,3,4.499999999999986,-1,37
32488,Ragavan Ramamoorthy,top/middle,0.7355559832416282,692,692,135.95284872298626,,4,3,20,0,24
8096,Anmol Malhotra,top/middle,0.7345833024629291,768,768,143.55140186915887,,4,3,-20,0,28
6945,Nidhish Rajagopal,top/middle,0.7341717099637136,940,940,119.89795918367346,,4,3,-10.3,0,37
5648,Anirudh Sita Ram,top/middle,0.7338038809001839,758,758,115.90214067278288,,4,3,-8.9,0,37
7488,Madhav Kaushik,top/middle,0.7337220042412713,1002,1002,141.92634560906515,,4,3,-20,0,36
33063,S Shivaraj,finisher,0.7327448982012819,553,553,154.46927374301677,0,6,3,3.9000000000000004,0,45
