player_id,player_name,career_is_capped,cap_prob_model,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
1018,Pavan Deshpande,False,0.5656593014195604,top/middle,505.0,,111.23348017621146,2.0,5.571428571428571,1.127123513512922,35.499999999999964,,21.0,36.19
1028,Varun Aaron,False,0.5067747590702602,finishing allrounder,9.0,,112.5,5.0,7.253731343283582,112.5,,4.999999999999998,7.0,36.08
1030,Harshad Khadiwale,False,0.45622826908874814,opener,54.0,,101.88679245283019,,,101.88679245283019,,,4.0,37.1
1031,Chirag Pathak,False,0.43625849668281846,opener,41.0,,89.1304347826087,,,89.1304347826087,,,2.0,38.81
1033,Paras Dogra,True,0.5611862454750546,top/middle,93.0,,138.80597014925374,,,1.5505509460808125,-37.499999999999986,,5.0,41.02
1039,Mandeep Singh,True,0.6649428869727946,top/middle,952.0,,141.66666666666666,1.0,8.074074074074074,2.4334962278136434,114.99999999999999,,41.0,33.94
1040,Harpreet Singh,True,0.6259141149533629,top/middle,669.0,,129.40038684719536,,,2.576659523387728,72.1,,23.0,34.29
1045,David Wiese,False,0.5088650449063273,finisher,21.0,,190.9090909090909,0.0,12.666666666666666,1.2543246692148966,,,3.0,40.53
1063,Colin Ingram,False,0.5145293989429913,top/middle,333.0,,133.2,,,5.079503836436582,,,9.0,40.4
107,Mohammad Hafeez,False,0.5045697969743174,finishing allrounder,96.0,,126.3157894736842,5.0,6.2727272727272725,1.6911315197316654,,,11.0,45.11
1071,Jaydev Unadkat,True,0.6798633192738182,finishing allrounder,261.0,,120.27649769585254,69.0,7.592592592592593,1.19299458185669,-20.6,0.6000000000000001,59.0,34.11
1077,David Miller,True,0.6404623946336678,finisher,1878.0,,137.98677443056576,,,2.0209547880114327,-41.899999999999984,,91.0,36.46
1082,Cameron Delport,False,0.48381284561506555,top/middle,89.0,,141.26984126984127,,,2.684349178253275,,,4.0,36.54
1086,Amit Paunikar,True,0.5481953186853655,top/middle,45.0,,136.36363636363637,,,136.36363636363637,,,1.0,37.61
1089,Shafiul Islam,False,0.46739429314792685,finishing allrounder,3.0,,33.333333333333336,5.0,9.664122137404581,0.712566048031257,,1.0,7.0,36.14
109,Wriddhiman Saha,True,0.6410981658449757,opener,1100.0,,111.78861788617886,,,3.6447835296604407,38.999999999999986,,57.0,41.09
1100,Dinesh Chandimal,True,0.5625523603088992,top/middle,187.0,,100.53763440860214,,,4.467067247823153,-21.19230769230769,,10.0,36.02
1104,Mohammad Shahzad,False,0.48559997320605147,opener,127.0,,116.5137614678899,,,5.332772435007188,,,7.0,38.88
1107,Mohammad Nabi,True,0.6935584217993668,finishing allrounder,751.0,,125.37562604340567,37.0,7.28066037735849,1.9107842580736778,66.69999999999999,2.3000000000000003,56.0,40.9
1109,Samiullah Shinwari,False,0.4644727058580232,finishing allrounder,42.0,,84.0,6.0,7.230769230769231,2.4572969339372257,25.999999999999986,3.999999999999999,6.0,37.91
1113,Imrul Kayes,False,0.5410187104084787,top/middle,590.0,,114.78599221789884,,,9.429638945214348,-58.19999999999999,,34.0,38.81
1114,Sohrawordi Shuvo,False,0.43827376057808576,finisher,1.0,,100.0,0.0,15.428571428571429,100.0,,,2.0,37.02
1121,Jahurul Islam,False,0.4680022859421273,top/middle,58.0,,74.35897435897436,,,4.8451866357220466,,,6.0,38.96
1161,AJ Blake,False,0.46709535207985686,top/middle,53.0,,84.12698412698413,,,7.096560599426444,,,5.0,36.84
117,Ashok Dinda,False,0.45748423858182463,finishing allrounder,1.0,,50.0,5.0,9.0,50.0,,,2.0,41.67
1171,Chris Woakes,False,0.5503203542416291,finishing allrounder,67.0,,108.06451612903226,18.0,6.996389891696751,1.0252272941735399,-0.9999999999999998,-1.4999999999999998,16.0,36.74
1183,Alex Hales,False,0.5531136759058413,opener,518.0,,148.0,,,3.1746877274916945,-12.071428571428578,,17.0,36.9
1187,Jason Roy,True,0.6376265997401094,opener,819.0,,128.16901408450704,,,1.9245781457840294,-66.42857142857143,,31.0,35.35
1195,Ben Stokes,False,0.5117930300958072,batting allrounder,48.0,,100.0,1.0,8.461538461538462,1.704223780439993,7.499999999999995,-7.850462293418875e-17,6.0,34.48
1205,Jonny Bairstow,True,0.6615031031695665,top/middle,1348.0,,141.44805876180482,,,3.973384301865359,-56.5,,46.0,36.17
1210,James Vince,False,0.4879788750085472,top/middle,124.0,,133.33333333333334,,,0.8546503227828552,-40.66666666666666,,6.0,34.7
1219,David Willey,True,0.6451148581574147,finishing allrounder,113.0,,100.89285714285714,22.0,7.061728395061729,1.061826409717106,9.499999999999995,-6.2803698347351e-16,23.0,35.74
126,Rohit Sharma,True,0.6631292153106864,opener,2636.0,,134.69596320899336,0.0,11.142857142857142,2.5855281246723187,-51.4,,101.0,38.58
1280,Bavanaka Sandeep,True,0.5592733430268949,batting allrounder,106.0,,108.16326530612245,1.0,5.3478260869565215,27.119280869695533,,,4.0,33.59
1318,Andre Russell,True,0.7026017964808497,finishing allrounder,1832.0,,158.88985255854294,108.0,9.423049391553329,3.268057143094377,-18.4,-2.4999999999999996,107.0,37.58
1327,Johnson Charles,True,0.6705653662979857,top/middle,893.0,,137.80864197530863,1.0,7.5,2.0880709824783823,-1.2999999999999872,,34.0,36.87
137,Shreevats Goswami,True,0.5814010654686614,opener,148.0,,123.33333333333333,,,4.408565461265647,-117.99999999999997,,6.0,36.53
138,Bharat Chipli,False,0.4373621814738379,top/middle,1.0,,25.0,,,25.0,,,1.0,42.83
1389,Sean Abbott,True,0.627754534726962,finishing allrounder,40.0,,105.26315789473684,27.0,8.657142857142857,1.2768105684609623,5.3999999999999995,1.2999999999999998,18.0,33.74
140,AB de Villiers,True,0.6064855660392506,top/middle,313.0,,145.58139534883722,,,2.6624558148713016,,,15.0,41.77
142,Shikhar Dhawan,True,0.6484843659526702,opener,1800.0,,123.03485987696514,,,7.809253460076079,-200.19999999999996,,54.0,39.98
143,Dinesh Karthik,True,0.6525909207933589,finisher,1554.0,,151.1673151750973,0.0,18.0,1.7230407744083225,-65.59999999999998,,95.0,40.49
1440,Rahul Tripathi,True,0.6622736388669159,top/middle,2323.0,,146.56151419558358,0.0,2.5714285714285716,3.5684789054579165,-4.199999999999994,,98.0,34.74
1465,Vishant More,False,0.5383437462781189,top/middle,385.0,,120.3125,,,2.513494483647951,-40.49999999999999,,29.0,34.0
147,Pradeep Sangwan,True,0.5746100646292572,finishing allrounder,2.0,,28.571428571428573,11.0,7.954285714285715,0.6783277711746619,-1.9999999999999996,-2.9999999999999987,9.0,35.06
1481,Kusal Perera,True,0.619493326371405,top/middle,828.0,,125.26475037821483,,,3.5381394360608978,48.74285714285713,,32.0,35.28
1486,Doug Bracewell,False,0.45124028544882394,finishing allrounder,5.0,,71.42857142857143,0.0,7.153846153846154,71.42857142857143,,,2.0,35.16
1487,Adam Milne,True,0.6577105080008403,finishing allrounder,78.0,,91.76470588235294,34.0,8.532019704433498,1.8100644169884854,-2.5999999999999988,3.3999999999999995,29.0,33.62
1497,Ronit More,False,0.5064673734388656,finishing allrounder,36.0,,94.73684210526316,23.0,7.581661891117479,8.950184512375902,-6.642857142857142,-2.9999999999999996,18.0,33.82
