player_id,runs_slope
1018,35.499999999999964
1028,
1030,
1031,
1033,-37.499999999999986
1039,114.99999999999999
1040,72.1
1045,
1063,
107,
1071,-20.6
1077,-41.899999999999984
1082,
1086,
1089,
109,38.999999999999986
1100,-21.19230769230769
1104,
1107,66.69999999999999
1109,25.999999999999986
1113,-58.19999999999999
1114,
1121,
1161,
117,
1171,-0.9999999999999998
1183,-12.071428571428578
1187,-66.42857142857143
1195,7.499999999999995
1205,-56.5
1210,-40.66666666666666
1219,9.499999999999995
126,-51.4
1280,
1318,-18.4
1327,-1.2999999999999872
137,-117.99999999999997
138,
1389,5.3999999999999995
140,
142,-200.19999999999996
143,-65.59999999999998
1440,-4.199999999999994
1465,-40.49999999999999
147,-1.9999999999999996
1481,48.74285714285713
1486,
1487,-2.5999999999999988
1497,-6.642857142857142
1506,-51.99999999999999
1512,0.20000000000000004
15162,
1519,
15197,
15198,-13.999999999999996
152,9.800000000000002
15222,65.0
15228,17.333333333333332
15231,
1532,-23.499999999999993
1541,
15551,
1566,2.657142857142856
1568,-71.07142857142858
1570,
158,18.99999999999999
159,3.153846153846155
1596,-149.20000000000002
1600,11.000000000000007
1609,-151.99999999999994
161,-58.499999999999986
1612,-4.499999999999999
1617,5.4999999999999964
1621,
1622,
16284,174.99999999999994
1629,
1633,-42.66666666666666
164,
167,138.40000000000003
1679,
1682,0.9999999999999999
1684,
1685,167.99999999999994
169,-37.99999999999998
1699,63.400000000000006
1701,10.199999999999998
1704,-8.999999999999996
1706,1.4999999999999998
1711,
1712,
172,-165.99999999999997
1727,60.29999999999999
1733,-133.99999999999994
175,42.499999999999986
1758,7.400000000000001
176,
1772,
1776,
17898,
17909,
17911,14.999999999999995
17937,-103.99999999999994
18097,
1810,
18108,
1812,
18120,
1813,3.1999999999999997
18135,-8.499999999999998
1814,-119.99999999999996
18154,
1816,
18161,193.99999999999994
1817,
1827,
1828,-2.499999999999999
1829,0.4999999999999999
183,-62.49999999999998
1836,-6.499999999999999
1842,
1860,39.38461538461539
1883,-0.9999999999999998
1884,-18.99999999999999
1885,
1886,
189,
1890,6.4999999999999964
1895,
19012,15.214285714285712
19020,0.9999999999999998
19062,
19072,-76.99999999999997
19074,
19083,200.99999999999997
19086,
19090,
19093,46.999999999999986
19096,-45.999999999999986
19097,
19098,-87.99999999999999
19103,-60.999999999999986
19108,-25.999999999999986
19111,
19112,66.49999999999997
19125,0.0
19126,-20.999999999999993
19141,51.99999999999997
19144,
19145,-0.4999999999999996
19148,55.999999999999986
1915,
19150,
1923,
1924,-12.500000000000009
19291,
19309,
19312,-0.35714285714285704
19315,-7.499999999999996
19316,6.700000000000002
19401,
19402,43.99999999999999
19403,-8.333333333333332
19404,-5.0769230769230775
19405,
19406,-14.038461538461537
19409,68.97142857142855
1941,-181.8
19412,
19414,
19416,-2.9999999999999996
19418,
19420,
19422,
19428,
19429,
19430,
19433,0.03846153846153852
19434,42.99999999999998
19435,1.6666666666666665
19436,
19437,-2.9999999999999996
1944,-21.499999999999993
19440,-16.999999999999996
19441,53.8
19442,
19449,
19454,-25.576923076923077
19455,28.000000000000007
19457,
19458,-3.6923076923076907
19459,-22.66666666666666
19460,-34.46153846153845
19462,-39.199999999999996
19464,-29.153846153846157
19469,-13.26923076923077
19470,
19472,-62.35714285714289
19475,
19476,-2.3333333333333326
19477,
19478,-38.999999999999986
19479,-19.153846153846157
19483,
19485,36.5
19488,
19489,
19491,-8.0
19492,1.333333333333333
19495,
19497,
19499,
19530,-7.999999999999998
19535,4.999999999999999
1955,
196,
19662,
19666,
19669,-76.99999999999996
19673,9.999999999999996
19674,95.99999999999999
19676,
19677,
19683,99.99999999999997
19684,-70.99999999999999
19685,
19686,
19687,7.999999999999994
19691,56.09999999999998
19695,
19696,37.499999999999986
19697,
19699,-18.99999999999999
197,
19700,-80.49999999999999
19702,73.99999999999999
19703,
19706,
19708,162.99999999999994
19710,
19712,66.5
19714,220.89999999999995
19715,-74.99999999999997
19716,
19718,-35.999999999999986
19726,
19727,
19730,
19754,
19781,
198,-10.59999999999999
1980,
19806,19.999999999999993
19809,
19811,
19815,25.499999999999993
19821,-34.999999999999986
19829,
19834,-13.999999999999996
19841,
19854,
19857,-27.49999999999999
19860,
19868,5.999999999999999
19870,34.999999999999986
19894,-0.9999999999999998
19970,7.999999999999998
19971,22.257142857142853
19972,3.999999999999999
19973,
19974,
19976,
19977,49.8
19979,-35.49999999999998
19980,
19981,0.0
19982,62.7
19983,50.714285714285715
19984,-90.99999999999999
19985,19.999999999999993
19986,
19988,4.499999999999996
19990,78.66666666666664
19992,
19993,
19997,-39.999999999999986
19998,-6.499999999999999
19999,
20000,41.99999999999997
20002,36.384615384615394
20003,
20004,2.0285714285714294
20005,10.999999999999998
20006,89.1
20009,-2.3333333333333326
2001,
20011,-6.999999999999996
20013,
20014,-12.999999999999993
20015,4.499999999999993
20017,
20018,3.9999999999999987
20020,-132.49999999999994
20021,215.49999999999994
20022,2.9999999999999996
20023,91.09999999999997
20024,11.999999999999998
20026,2.6538461538461537
20027,-15.999999999999996
20029,-6.6000000000000005
2003,-39.39999999999999
20030,11.999999999999998
20032,-28.99999999999999
20034,
20035,
20036,
20041,-15.999999999999996
20042,-40.999999999999986
20045,-19.499999999999996
20046,4.499999999999998
20049,
20050,
20054,114.49999999999993
20055,
20056,
20057,
20062,0.4999999999999999
20068,-15.499999999999996
20069,-3.999999999999999
20072,-17.999999999999993
20073,41.00000000000001
20074,21.799999999999997
20075,
20076,10.999999999999998
20077,42.99999999999998
20078,75.99999999999996
20079,-11.999999999999998
20080,-62.99999999999998
20081,35.999999999999986
20083,
20084,
20085,0.4999999999999999
20086,0.7307692307692311
20087,
20088,36.49999999999999
20111,0.33333333333333326
20112,10.600000000000003
20116,16.423076923076927
20118,25.0
20147,
20170,3.3076923076923084
20171,29.749999999999986
20228,80.39999999999999
20229,
20298,
20299,6.4999999999999964
20301,-5.499999999999999
2031,27.999999999999993
20310,
20327,19.0
2033,54.8846153846154
2037,-4.999999999999998
2054,1.4999999999999998
20693,0.24999999999999994
20694,
207,
20702,148.9
20704,
20711,
20723,11.999999999999998
20730,13.999999999999991
20751,
20754,
20755,
20756,
20757,
20760,
20761,-9.999999999999996
20762,-17.499999999999993
20763,2.9999999999999987
20764,
20766,-27.499999999999993
20767,3.9999999999999982
20768,0.9999999999999992
20769,
20797,0.4999999999999977
20801,51.99999999999997
20802,80.39999999999998
20804,57.499999999999986
20805,-27.999999999999993
20808,0.0
20810,-150.99999999999997
20812,-122.99999999999997
20813,1.9999999999999984
20814,130.99999999999997
20815,30.999999999999986
20816,-26.999999999999993
20819,130.99999999999994
20822,40.999999999999986
20823,7.999999999999998
20824,0.0
20825,
20826,-6.9999999999999964
20828,2.4999999999999947
20829,80.99999999999996
20830,
20831,155.49999999999991
20832,-4.999999999999998
20834,
20836,
20837,
20839,
20843,-12.0
20844,-20.999999999999993
20845,-27.999999999999993
20846,
20848,-0.9999999999999998
20850,3.999999999999999
20854,111.99999999999997
20855,
20861,56.99999999999997
20862,-37.49999999999999
20863,48.99999999999999
20864,
20865,6.499999999999998
20866,64.49999999999997
20867,
20869,
20870,-8.000000000000002
20871,-21.999999999999996
20874,103.49999999999999
20875,
20877,-40.49999999999999
20878,
20879,29.999999999999993
20880,
20881,
20882,
20884,
20886,12.999999999999996
20887,
20894,125.79999999999998
20937,
20985,
20987,55.49999999999998
20989,-37.499999999999986
20990,
21008,
2101,-143.10000000000002
21026,
21029,-28.599999999999998
21058,
2119,-23.499999999999993
21196,
21388,
217,
21784,
21790,
2199,-34.49999999999999
220,32.20000000000002
2201,18.999999999999996
2205,-22.299999999999997
2207,-1.0000000000000004
2208,2.9999999999999996
2210,28.78571428571429
2212,41.7
2213,27.100000000000016
2214,9.499999999999986
2216,-8.499999999999995
2218,11.999999999999996
2226,
2228,-13.214285714285714
2229,-16.499999999999996
223,-48.39999999999999
2230,-4.399999999999999
2231,-10.999999999999998
2232,-0.33333333333333326
2234,
224,
2246,17.499999999999993
2249,-1.7142857142857146
2250,
2254,
2255,0.7499999999999959
2256,6.300000000000002
22565,100.99999999999999
22568,
2257,15.3
2258,81.19999999999999
2259,
2261,-20.099999999999998
22862,
22868,
22876,29.99999999999999
22877,-2.9999999999999996
22888,
22889,58.999999999999986
22892,
22896,-5.999999999999999
22920,1.1428571428571426
2299,2.499999999999999
23,32.1
2304,-7.999999999999998
23146,
2315,-1.9285714285714284
2316,
2320,-1.3999999999999992
2321,
23311,73.99999999999999
2334,2.000000000000003
234,
23423,26.499999999999996
23426,-4.371428571428569
23428,
23430,
23431,1.9999999999999996
23432,
23434,
23435,0.0
23436,
23440,1.5
23441,
23443,-2.0
23445,13.100000000000001
23448,43.99999999999998
23450,103.10000000000002
23451,-20.39999999999999
23452,46.800000000000004
23457,-0.19999999999999998
23459,
23461,37.89999999999999
23462,-5.999999999999998
23464,
23467,12.942857142857141
2347,
23470,
23472,-15.999999999999996
23473,-5.599999999999999
23474,21.2
23475,
2351,-4.785714285714284
2361,-20.499999999999993
2362,147.99999999999997
2364,4.999999999999998
2367,190.60000000000002
23686,
2373,-12.07142857142857
2379,3.9285714285714266
2382,18.99999999999999
23857,
23858,
23859,
2386,
23860,-43.88461538461539
23861,1.0384615384615385
23862,-6.500000000000001
23863,
23864,-14.999999999999998
23865,
23866,-14.999999999999998
23867,24.333333333333325
23868,
23869,-0.6538461538461541
23870,
23871,-6.230769230769231
23872,
23873,
23874,
23875,
23876,
23877,
23878,
23879,
23880,
23881,
23882,
23883,
2394,
2399,-4.115384615384611
24017,
2407,-6.1000000000000005
2410,99.50000000000001
2411,1.570092458683775e-16
2412,
2413,-3.942857142857145
2414,
2415,10.200000000000005
2416,-66.1
2417,1.7000000000000024
24177,
24178,
2418,
24180,
2420,
24204,
24235,
24245,
24247,
24253,2.9999999999999996
24254,-6.999999999999998
24256,206.9999999999999
24259,-30.999999999999986
24260,5.499999999999994
24263,11.500000000000004
24265,
24266,60.999999999999986
24267,9.999999999999996
24273,18.99999999999999
24278,
24279,
24282,-14.499999999999993
24283,
24285,
24287,
24289,
24292,
24297,-22.499999999999993
24301,
24302,-39.999999999999986
24305,39.999999999999986
24307,
24310,
24311,
24313,22.49999999999998
24316,85.49999999999999
24320,46.999999999999986
24321,
24323,-0.9999999999999998
24326,-19.999999999999993
24327,153.99999999999994
24328,
24336,69.99999999999997
24339,17.999999999999993
24344,86.99999999999997
24345,
24347,-10.999999999999998
2435,
24351,
24354,
24355,
24358,-11.999999999999998
2436,-24.599999999999998
24372,45.999999999999986
2439,0.33333333333333326
2442,
2443,
24475,-27.999999999999993
24555,
24556,
24559,
24570,0.9999999999999998
24572,32.99999999999999
24576,
24578,
24580,-67.99999999999999
24587,
24590,
24598,
24599,-24.999999999999993
2460,
24603,-6.0
24605,
24606,39.999999999999986
24610,19.999999999999993
2463,155.99999999999994
24764,
24767,3.499999999999999
