player_id,player_name,career_is_capped,cap_prob_calibrated,cap_prob_calibrated_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
1018,Pavan Deshpande,FALSE,0.625,0.4375,top/middle,505,,111.23348017621146,2,5.571428571428571,1.127123513512922,35.499999999999964,,21,36.19
1028,Varun Aaron,FALSE,0.2,0.13999999999999999,finishing allrounder,9,,112.5,5,7.253731343283582,112.5,,4.999999999999998,7,36.08
1030,Harshad Khadiwale,FALSE,0.097765363,0.068435754,opener,54,,101.88679245283019,,,101.88679245283019,,,4,37.1
1031,Chirag Pathak,FALSE,0.039421813,0.027595269,opener,41,,89.13043478,,,89.13043478,,,2,38.81
1033,Paras Dogra,TRUE,0.625,0.4375,top/middle,93,,138.80597014925374,,,1.5505509460808125,-37.5,,5,41.02
1039,Mandeep Singh,TRUE,1,0.85,top/middle,952,,141.66666666666666,1,8.074074074074074,2.4334962278136434,114.99999999999999,,41,33.94
1040,Harpreet Singh,TRUE,1,0.85,top/middle,669,,129.40038684719536,,,2.576659523387728,72.1,,23,34.29
1045,David Wiese,FALSE,0.21153846153846154,0.14807692307692308,finisher,21,,190.9090909090909,0,12.666666666666666,1.2543246692148966,,,3,40.53
1063,Colin Ingram,FALSE,0.22535211267605634,0.15774647887323942,top/middle,333,,133.2,,,5.079503836436582,,,9,40.4
107,Mohammad Hafeez,FALSE,0.2,0.13999999999999999,finishing allrounder,96,,126.3157894736842,5,6.2727272727272725,1.6911315197316654,,,11,45.11
1071,Jaydev Unadkat,TRUE,1,0.85,finishing allrounder,261,,120.27649769585254,69,7.592592592592593,1.192994582,-20.6,0.6000000000000001,59,34.11
1077,David Miller,TRUE,1,0.7,finisher,1878,,137.98677443056576,,,2.0209547880114327,-41.9,,91,36.46
1082,Cameron Delport,FALSE,0.112,0.0784,top/middle,89,,141.26984126984127,,,2.684349178253275,,,4,36.54
1086,Amit Paunikar,TRUE,0.45901639344262296,0.32131147540983607,top/middle,45,,136.36363636363637,,,136.36363636363637,,,1,37.61
1089,Shafiul Islam,FALSE,0.098930481,0.069251337,finishing allrounder,3,,33.333333333333336,5,9.664122137404581,0.712566048,,1,7,36.14
109,Wriddhiman Saha,TRUE,1,0.7,opener,1100,,111.78861788617886,,,3.6447835296604407,38.999999999999986,,57,41.09
1100,Dinesh Chandimal,TRUE,0.625,0.4375,top/middle,187,,100.53763440860214,,,4.467067247823153,-21.19230769,,10,36.02
1104,Mohammad Shahzad,FALSE,0.112,0.0784,opener,127,,116.5137614678899,,,5.332772435007188,,,7,38.88
1107,Mohammad Nabi,TRUE,1,0.7,finishing allrounder,751,,125.37562604340567,37,7.280660377,1.9107842580736778,66.69999999999999,2.3000000000000003,56,40.9
1109,Samiullah Shinwari,FALSE,0.098930481,0.069251337,finishing allrounder,42,,84,6,7.230769230769231,2.4572969339372257,25.999999999999986,3.999999999999999,6,37.91
1113,Imrul Kayes,FALSE,0.38461538461538464,0.2692307692307692,top/middle,590,,114.78599221789884,,,9.429638945214348,-58.2,,34,38.81
1114,Sohrawordi Shuvo,FALSE,0.039421813,0.027595269,finisher,1,,100,0,15.428571428571429,100,,,2,37.02
1121,Jahurul Islam,FALSE,0.098930481,0.069251337,top/middle,58,,74.35897435897436,,,4.8451866357220466,,,6,38.96
1161,AJ Blake,FALSE,0.098930481,0.069251337,top/middle,53,,84.12698412698413,,,7.096560599426444,,,5,36.84
117,Ashok Dinda,FALSE,0.097765363,0.068435754,finishing allrounder,1,,50,5,9,50,,,2,41.67
1171,Chris Woakes,FALSE,0.48437499999999994,0.33906249999999993,finishing allrounder,67,,108.06451612903226,18,6.996389891696751,1.0252272941735399,-1,-1.5,16,36.74
