player_id,career_player_name,career_bowling_type,career_bowling_hand,career_batting_type,career_batting_hand,career_date_of_birth,career_wicket_keeper,career_batting_innings,career_batting_runs,career_batting_balls,career_batting_fours,career_batting_sixes,career_batting_dismissals,career_bat_sr,career_bat_avg,career_boundary_pct,career_dot_ball_pct,career_bowling_innings,career_bowling_runs_conceded,career_bowling_balls,career_bowling_wickets,career_bow_econ,career_bow_sr,career_wickets_per_100_balls,career_matches_played,career_pct_matches_as_wk,career_avg_batting_order,career_is_capped,career_is_uncapped,career_dob_parsed,career_age_days,career_age_years,career_role_guess,career_bat_runs_per_100,career_bat_impact_proxy,career_bow_wickets_per_100,career_bow_impact_proxy,career_played_in_ipl,m12_player_name,m12_bowling_type,m12_bowling_hand,m12_batting_type,m12_batting_hand,m12_date_of_birth,m12_wicket_keeper,m12_batting_innings,m12_batting_runs,m12_batting_balls,m12_batting_fours,m12_batting_sixes,m12_batting_dismissals,m12_bat_sr,m12_bat_avg,m12_boundary_pct,m12_dot_ball_pct,m12_bowling_innings,m12_bowling_runs_conceded,m12_bowling_balls,m12_bowling_wickets,m12_bow_econ,m12_bow_sr,m12_wickets_per_100_balls,m12_matches_played,m12_pct_matches_as_wk,m12_avg_batting_order,m12_is_capped,m12_is_uncapped,m12_dob_parsed,m12_age_days,m12_age_years,m12_role_guess,m12_bat_runs_per_100,m12_bat_impact_proxy,m12_bow_wickets_per_100,m12_bow_impact_proxy,m12_played_in_ipl,m24_player_name,m24_bowling_type,m24_bowling_hand,m24_batting_type,m24_batting_hand,m24_date_of_birth,m24_wicket_keeper,m24_batting_innings,m24_batting_runs,m24_batting_balls,m24_batting_fours,m24_batting_sixes,m24_batting_dismissals,m24_bat_sr,m24_bat_avg,m24_boundary_pct,m24_dot_ball_pct,m24_bowling_innings,m24_bowling_runs_conceded,m24_bowling_balls,m24_bowling_wickets,m24_bow_econ,m24_bow_sr,m24_wickets_per_100_balls,m24_matches_played,m24_pct_matches_as_wk,m24_avg_batting_order,m24_is_capped,m24_is_uncapped,m24_dob_parsed,m24_age_days,m24_age_years,m24_role_guess,m24_bat_runs_per_100,m24_bat_impact_proxy,m24_bow_wickets_per_100,m24_bow_impact_proxy,m24_played_in_ipl
1071,Jaydev Unadkat,Left-arm medium,L,Right-hand bat,R,18/10/91,0,28,261,217,22,9,0,120.27649769585254,,14.285714285714286,85.71428571428572,59,1640,1296,69,7.592592592592593,18.782608695652176,5.324074074074074,59,0,8.864406779661017,TRUE,FALSE,10/18/1991,12458,34.11,finishing allrounder,120.27649769585254,636.4434029381182,5.324074074074074,0.701219512,TRUE,Jaydev Unadkat,Left-arm medium,L,Right-hand bat,R,18/10/91,0,25,247,200,20,9,0,123.5,,14.5,85.5,44,1231,958,48,7.709812108559499,19.958333333333332,5.010438413361169,44,0,8.75,TRUE,FALSE,10/18/1991,12093,33.11,finishing allrounder,123.5,617.5,5.010438413361169,0.6498781478472787,TRUE,Jaydev Unadkat,Left-arm medium,L,Right-hand bat,R,18/10/91,0,20,223,173,18,8,0,128.90173410404626,,15.028901734104046,84.97109826589595,32,893,740,39,7.2405405405405405,18.974358974358974,5.27027027,32,0,8.1875,TRUE,FALSE,10/18/1991,11727,32.11,finishing allrounder,128.90173410404626,576.4660797485008,5.27027027,0.7278835386338186,TRUE
1077,David Miller,Right-arm offbreak,R,Left-hand bat,L,10/6/1989,0,84,1878,1361,136,91,0,137.98677443056576,,16.67891256429096,83.32108743570905,,,,,,,,91,0,5.230769230769231,TRUE,FALSE,6/10/1989,13318,36.46,finisher,137.98677443056576,1264.6696774617292,,,TRUE,David Miller,Right-arm offbreak,R,Left-hand bat,L,10/6/1989,0,73,1643,1196,119,79,0,137.37458193979933,,16.555183946488295,83.44481605,,,,,,,,79,0,5.177215189873418,TRUE,FALSE,6/10/1989,12953,35.46,finisher,137.37458193979933,1173.7289426050754,,,TRUE,David Miller,Right-arm offbreak,R,Left-hand bat,L,10/6/1989,0,55,1262,898,87,62,0,140.53452115812917,,16.592427616926503,83.40757238,,,,,,,,61,0,5.229508196721311,TRUE,FALSE,6/10/1989,12587,34.46,finisher,140.53452115812917,1042.231903197631,,,TRUE
1082,Cameron Delport,Right-arm medium,R,Left-hand bat,L,12/5/1989,0,4,89,63,9,4,0,141.26984126984127,,20.634920634920636,79.36507936507937,,,,,,,,4,0,3,FALSE,TRUE,5/12/1989,13347,36.54,top/middle,141.26984126984127,282.53968253968253,,,FALSE,Cameron Delport,Right-arm medium,R,Left-hand bat,L,12/5/1989,0,4,89,63,9,4,0,141.26984126984127,,20.634920634920636,79.36507936507937,,,,,,,,4,0,3,FALSE,TRUE,5/12/1989,12982,35.54,top/middle,141.26984126984127,282.53968253968253,,,FALSE,Cameron Delport,Right-arm medium,R,Left-hand bat,L,12/5/1989,0,4,89,63,9,4,0,141.26984126984127,,20.634920634920636,79.36507936507937,,,,,,,,4,0,3,FALSE,TRUE,5/12/1989,12616,34.54,top/middle,141.26984126984127,282.53968253968253,,,FALSE
1086,Amit Paunikar,Right-arm offbreak,R,Right-hand bat,R,18/04/88,1,1,45,33,6,2,0,136.36363636363637,,24.242424242424242,75.75757575757575,,,,,,,,1,0,4,TRUE,FALSE,4/18/1988,13736,37.61,top/middle,136.36363636363637,136.36363636363637,,,FALSE,Amit Paunikar,Right-arm offbreak,R,Right-hand bat,R,18/04/88,1,1,45,33,6,2,0,136.36363636363637,,24.242424242424242,75.75757575757575,,,,,,,,1,0,4,TRUE,FALSE,4/18/1988,13371,36.61,top/middle,136.36363636363637,136.36363636363637,,,FALSE,Amit Paunikar,Right-arm offbreak,R,Right-hand bat,R,18/04/88,1,1,45,33,6,2,0,136.36363636363637,,24.242424242424242,75.75757575757575,,,,,,,,1,0,4,TRUE,FALSE,4/18/1988,13005,35.61,top/middle,136.36363636363637,136.36363636363637,,,FALSE
1089,Shafiul Islam,Right-arm fast-medium,R,Right-hand bat,R,6/10/1989,0,3,3,9,0,0,0,33.333333333333336,,0,100,7,211,131,5,9.664122137404581,26.2,3.816793893129771,7,0,10.285714285714286,FALSE,TRUE,10/6/1989,13200,36.14,finishing allrounder,33.333333333333336,57.735026918962575,3.816793893129771,0.3949447077409163,FALSE,Shafiul Islam,Right-arm fast-medium,R,Right-hand bat,R,6/10/1989,0,,,,,,,,,,,1,26,24,1,6.5,24,4.166666666666667,1,0,9,FALSE,TRUE,10/6/1989,12835,35.14,finishing allrounder,,,4.166666666666667,0.6410256410256411,FALSE,Shafiul Islam,Right-arm fast-medium,R,Right-hand bat,R,6/10/1989,0,,,,,,,,,,,1,26,24,1,6.5,24,4.166666666666667,1,0,9,FALSE,TRUE,10/6/1989,12469,34.14,finishing allrounder,,,4.166666666666667,0.6410256410256411,FALSE
109,Wriddhiman Saha,Right-arm medium,R,Right-hand bat,R,24/10/84,1,57,1100,984,131,24,0,111.78861788617886,,15.752032520325203,84.24796748,,,,,,,,57,0.9298245614035088,1.5087719298245614,TRUE,FALSE,10/24/1984,15008,41.09,opener,111.78861788617886,843.9855567883968,,,TRUE,Wriddhiman Saha,Right-arm medium,R,Right-hand bat,R,24/10/84,1,57,1100,984,131,24,0,111.78861788617886,,15.752032520325203,84.24796748,,,,,,,,57,0.9298245614035088,1.5087719298245614,TRUE,FALSE,10/24/1984,14643,40.09,opener,111.78861788617886,843.9855567883968,,,TRUE,Wriddhiman Saha,Right-arm medium,R,Right-hand bat,R,24/10/84,1,41,870,769,101,20,0,113.13394018205462,,15.734720416124837,84.26527958387517,,,,,,,,41,0.9024390243902439,1.5609756097560976,TRUE,FALSE,10/24/1984,14277,39.09,opener,113.13394018205462,724.4106745,,,TRUE
1100,Dinesh Chandimal,Right-arm offbreak,R,Right-hand bat,R,18/11/89,1,10,187,186,13,5,0,100.53763440860214,,9.677419355,90.32258064516128,,,,,,,,10,0.8181818181818182,4.2727272727272725,TRUE,FALSE,11/18/1989,13157,36.02,top/middle,100.53763440860214,317.9279152964983,,,FALSE,Dinesh Chandimal,Right-arm offbreak,R,Right-hand bat,R,18/11/89,1,9,183,181,13,5,0,101.10497237569061,,9.944751381,90.05524861878453,,,,,,,,9,0.9,4.3,TRUE,FALSE,11/18/1989,12792,35.02,top/middle,101.10497237569061,303.3149171270718,,,FALSE,Dinesh Chandimal,Right-arm offbreak,R,Right-hand bat,R,18/11/89,1,9,183,181,13,5,0,101.10497237569061,,9.944751381,90.05524861878453,,,,,,,,9,0.9,4.3,TRUE,FALSE,11/18/1989,12426,34.02,top/middle,101.10497237569061,303.3149171270718,,,FALSE
1104,Mohammad Shahzad,Right-arm medium,R,Right-hand bat,R,9/1/1987,1,7,127,109,20,1,0,116.5137614678899,,19.26605504587156,80.73394495412845,,,,,,,,7,0,1.7142857142857142,FALSE,TRUE,1/9/1987,14201,38.88,opener,116.5137614678899,308.2664371607367,,,FALSE,Mohammad Shahzad,Right-arm medium,R,Right-hand bat,R,9/1/1987,1,7,127,109,20,1,0,116.5137614678899,,19.26605504587156,80.73394495412845,,,,,,,,7,0,1.7142857142857142,FALSE,TRUE,1/9/1987,13836,37.88,opener,116.5137614678899,308.2664371607367,,,FALSE,Mohammad Shahzad,Right-arm medium,R,Right-hand bat,R,9/1/1987,1,7,127,109,20,1,0,116.5137614678899,,19.26605504587156,80.73394495412845,,,,,,,,7,0,1.7142857142857142,FALSE,TRUE,1/9/1987,13470,36.88,opener,116.5137614678899,308.2664371607367,,,FALSE
1107,Mohammad Nabi,Right-arm offbreak,R,Right-hand bat,R,1/1/1985,0,46,751,599,49,38,0,125.37562604340567,,14.524207011686144,85.47579298831386,49,1029,848,37,7.280660377,22.91891891891892,4.363207547169812,56,0,6.120689655172414,TRUE,FALSE,1/1/1985,14939,40.9,finishing allrounder,125.37562604340567,850.3388676672915,4.363207547169812,0.5992873339812116,TRUE,Mohammad Nabi,Right-arm offbreak,R,Right-hand bat,R,1/1/1985,0,34,517,431,35,23,0,119.95359628770302,,13.45707656612529,86.54292343,34,722,568,28,7.626760563380282,20.285714285714285,4.929577464788732,39,0,5.658536585365853,TRUE,FALSE,1/1/1985,14574,39.9,finishing allrounder,119.95359628770302,699.4436495672902,4.929577464788732,0.6463527239150507,TRUE,Mohammad Nabi,Right-arm offbreak,R,Right-hand bat,R,1/1/1985,0,15,218,195,20,6,0,111.7948717948718,,13.333333333333334,86.66666666666667,15,351,267,13,7.887640449438202,20.53846153846154,4.868913857677903,17,0,5.235294117647059,TRUE,FALSE,1/1/1985,14208,38.9,finishing allrounder,111.7948717948718,432.97967665293174,4.868913857677903,0.617283951,TRUE
1109,Samiullah Shinwari,Right-arm Leg-Break,R,Right-hand bat,R,31/12/87,0,5,42,50,1,2,0,84,,6,94,4,94,78,6,7.230769230769231,13,7.6923076923076925,6,0,6.5,FALSE,TRUE,12/31/1987,13845,37.91,finishing allrounder,84,187.82971010998233,7.6923076923076925,1.0638297872340425,FALSE,Samiullah Shinwari,Right-arm Leg-Break,R,Right-hand bat,R,31/12/87,0,,,,,,,,,,,,,,,,,,1,0,8,FALSE,TRUE,12/31/1987,13480,36.91,finisher,,,,,FALSE,Samiullah Shinwari,Right-arm Leg-Break,R,Right-hand bat,R,31/12/87,0,,,,,,,,,,,,,,,,,,1,0,8,FALSE,TRUE,12/31/1987,13114,35.9,finisher,,,,,FALSE
