player_id,career_matches_played,career_batting_runs,career_batting_innings,career_bat_sr,career_bat_avg,career_bowling_wickets,career_bowling_innings,career_bow_econ,career_bow_sr,m12_matches_played,m12_batting_runs,m12_batting_innings,m12_bat_sr,m24_matches_played,m24_batting_runs,m24_batting_innings,m24_bat_sr
1018,21,505,20,111.23348017621146,,2,2,5.571428571428571,21,21,505,20,111.23348017621146,21,505,20,111.23348017621146
1028,7,9,2,112.5,,5,7,7.253731343283582,26.8,7,9,2,112.5,7,9,2,112.5
1030,4,54,4,101.88679245283019,,,,,,4,54,4,101.88679245283019,4,54,4,101.88679245283019
1031,2,41,2,89.13043478,,,,,,2,41,2,89.13043478,2,41,2,89.13043478
1033,5,93,5,138.80597014925374,,,,,,5,93,5,138.80597014925374,5,93,5,138.80597014925374
1039,41,952,38,141.66666666666666,,1,6,8.074074074074074,81,38,897,35,143.52,26,539,23,139.63730569948186
1040,23,669,23,129.40038684719536,,,,,,10,270,10,120.53571428571429,7,191,7,119.375
1045,3,21,3,190.9090909090909,,0,1,12.666666666666666,,3,21,3,190.9090909090909,3,21,3,190.9090909090909
1063,9,333,9,133.2,,,,,,9,333,9,133.2,9,333,9,133.2
107,11,96,7,126.3157894736842,,5,5,6.2727272727272725,13.2,11,96,7,126.3157894736842,11,96,7,126.3157894736842
1071,59,261,28,120.27649769585254,,69,59,7.592592592592593,18.782608695652176,44,247,25,123.5,32,223,20,128.90173410404626
1077,91,1878,84,137.98677443056576,,,,,,79,1643,73,137.37458193979933,61,1262,55,140.53452115812917
1082,4,89,4,141.26984126984127,,,,,,4,89,4,141.26984126984127,4,89,4,141.26984126984127
1086,1,45,1,136.36363636363637,,,,,,1,45,1,136.36363636363637,1,45,1,136.36363636363637
1089,7,3,3,33.333333333333336,,5,7,9.664122137404581,26.2,1,,,,1,,,
109,57,1100,57,111.78861788617886,,,,,,57,1100,57,111.78861788617886,41,870,41,113.13394018205462
1100,10,187,10,100.53763440860214,,,,,,9,183,9,101.10497237569061,9,183,9,101.10497237569061
1104,7,127,7,116.5137614678899,,,,,,7,127,7,116.5137614678899,7,127,7,116.5137614678899
1107,56,751,46,125.37562604340567,,37,49,7.280660377,22.91891891891892,39,517,34,119.95359628770302,17,218,15,111.7948717948718
1109,6,42,5,84,,6,4,7.230769230769231,13,1,,,,1,,,
1113,34,590,33,114.78599221789884,,,,,,30,566,29,113.2,25,414,24,114.68144044321329
1114,2,1,1,100,,0,1,15.428571428571429,,2,1,1,100,2,1,1,100
1121,6,58,6,74.35897435897436,,,,,,6,58,6,74.35897435897436,6,58,6,74.35897435897436
