player_id,player_name,cap_prob_calibrated,cap_prob_calibrated_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
5680,R Sonu Yadav,0.9411764705882353,0.9411764705882353,finishing allrounder,537,,129.3975903614458,80,6.9209039548022595,4.856860288200398,16.2,-0.6,49,26.04
6494,Manoj Bhandage,0.8904109589041153,0.8904109589041153,finishing allrounder,603,,171.3068181818182,35,8.810408921933085,3.100982940324242,-54.1,1.4999999999999998,43,27.14
3451,Baba Indrajith,0.8904109589041096,0.8904109589041096,top/middle,1086,,130.68592057761734,,,2.013965075281015,45.300000000000004,,50,31.39
20802,Abdul Basith,0.8904109589041096,0.8904109589041096,finishing allrounder,722,,136.48393194706995,28,7.608695652173913,5.669537108637021,80.39999999999998,1.4999999999999982,45,27.13
6321,Shubhang Hegde,0.8904109589041096,0.8904109589041096,finishing allrounder,683,,122.1824686940966,59,6.316666666666666,1.3433674581231148,3.699999999999999,0.6999999999999997,50,24.66
20023,Karan Sharma,0.8904109589041096,0.8904109589041096,opener,1495,,126.58763759525826,13,6.795698924731183,2.946720067671804,91.09999999999997,1.1,47,27.07
6526,Himmat Singh,0.8904109589041096,0.8904109589041096,top/middle,1038,,145.3781512605042,9,9.664429530201343,3.2424351204060384,94.30000000000001,4.999999999999998,41,29.05
4486,BR Sharath,0.8904109589041096,0.8904109589041096,top/middle,964,,151.57232704402514,,,2.0253223646680842,65.30000000000001,,43,29.16
43774,Shivam Singh,0.8904109589041096,0.8904109589041096,top/middle,1049,,131.9496855345912,0,2.4,1.9572020194594544,86.59999999999997,,29,30.01
4077,KL Shrijith,0.8904109589041096,0.8904109589041096,top/middle,1489,,128.4728213977567,1,8,3.4699889062230422,7.300000000000003,,53,29.29
3281,Mosaddek Hossain,0.8904109589041096,0.8904109589041096,finishing allrounder,528,,110.69182389937107,24,7.537735849056604,2.2366681022769463,-11.2,0.19999999999999993,48,29.96
5769,Codanda Karthik,0.8904109589041096,0.7568493150684932,batting allrounder,552,,132.37410071942446,49,8.068322981,4.555410796744522,9.799999999999995,-2.5,36,32.13
5659,Abhishek Tanwar,0.8904109589041096,0.7568493150684932,finishing allrounder,323,,156.03864734299518,61,7.674418604651163,2.6628725760164333,-13.1,0.3000000000000003,40,34.11
2790,Praveen Dubey,0.8904109589041096,0.7568493150684932,finishing allrounder,487,,146.24624624624624,31,7.924324324324324,2.3608371773065784,42.68571428571428,0.9999999999999998,38,32.41
2218,Anamul Haque,0.8181818181818182,0.6954545454545454,top/middle,1282,,120.0374531835206,,,2.580377356844959,11.999999999999996,,50,32.94
4747,Mohammed Azharuddeen,0.6250000000010296,0.6250000000010296,top/middle,1214,,154.8469387755102,,,1.4846353243550432,57.8,,36,31.68
7696,Mohammad Wasim,0.625,0.625,finishing allrounder,101,,116.0919540229885,43,7.679706601466993,1.505618134511825,6.300000000000001,1.0999999999999999,36,24.25
7721,NS Harish,0.625,0.625,finishing allrounder,223,,127.42857142857143,23,6.904255319148936,2.3519764122752163,25.000000000000007,-1.4,35,27.79
4783,Zakir Hasan,0.625,0.625,top/middle,902,,126.68539325842697,,,10.978065975308223,98.99999999999997,,43,27.82
6452,Harsh Tyagi,0.625,0.625,batting allrounder,540,,119.73392461197339,24,7.492822966507177,3.163890000637332,29,3.1999999999999993,43,25.9
6463,Shiva Singh,0.625,0.625,finishing allrounder,358,,129.71014492753622,24,6.361809045,4.376000247469436,23.799999999999986,1.1999999999999997,41,26.11
20020,Abhishek Goswami,0.625,0.625,opener,974,,126.16580310880829,,,4.6675740599289695,-132.5,,34,28.05
4325,Ashwin Hebbar,0.625,0.625,opener,1164,,145.3183520599251,0,13.161290322580646,4.163762526723528,96.29999999999998,,31,30.03
27970,Gurnoor Singh,0.625,0.625,finishing allrounder,92,,148.38709677419354,32,8.139534884,1.111312493331982,13.999999999999996,13.999999999999996,24,25.51
6237,Manimaran Siddharth,0.625,0.625,finishing allrounder,48,,92.30769231,52,5.6680851063829785,2.1696999494218514,-0.2,-1.5,51,27.4
19700,Prince Yadav,0.625,0.625,finishing allrounder,627,,118.30188679245283,21,7.953810623556582,7.443049762619983,-80.5,4.499999999999998,34,27.9
7134,Luvnith Sisodia,0.625,0.625,opener,1314,,150.86107921928817,,,6.264600086748897,-54.4,,44,25.86
45989,Swastik Chikara,0.625,0.625,opener,1388,,152.6952695269527,0,9.555555555555555,3.8517809828528473,-49.5,0,36,25.9
20327,Usman Khan,0.625,0.625,top/middle,849,,136.2760834670947,,,3.3198439906845136,19,,37,30.55
6643,Hasan Mahmud,0.625,0.625,finishing allrounder,50,,83.33333333333333,64,7.364093959731544,2.0102280493055558,9.999999999999996,3.9999999999999987,54,28.79
4543,Jagatheesan Kousik,0.625,0.625,batting allrounder,774,,117.45068285280729,16,6.776978417266187,10.687361272566571,12.399999999999999,-3.2,37,30.51
6554,Salman Nizar,0.625,0.625,top/middle,1458,,145.36390827517448,1,4.615384615384615,3.209794099585199,113.42857142857142,,44,28.41
5957,Rohan Kunnummal,0.625,0.625,opener,1401,,154.63576158940398,,,5.224950003589459,150.7,,41,27.55
5882,Afif Hossain,0.625,0.625,top/middle,1533,,116.4009111617312,4,8.627737226277372,2.537531540343742,-8.5,-8.78E-18,77,26.18
6971,Saravana Kumar P,0.8904109589041096,0.6232876712328766,finishing allrounder,193,,121.38364779874213,50,7.625316455696202,3.8763738331035587,-10.4,-0.7,37,36.25
2257,Chirag Jani,0.8904109589041096,0.6232876712328766,finishing allrounder,580,,116.70020120724347,61,7.217948717948718,1.7964968014437954,15.3,3,39,36.05
2862,Sachin Baby,0.8904109589041096,0.6232876712328766,batting allrounder,1579,,146.7472118959108,18,7.415929203539823,3.1687973868533015,109.50000000000003,0.6285714285714283,45,36.94
1600,Benny Howell,0.8181818181818182,0.5727272727272728,finishing allrounder,449,,138.58024691358025,16,6.9553398058252425,6.0355494328437596,11.000000000000007,3.499999999999999,23,37.14
5841,Nahidul Islam,0.625,0.53125,finishing allrounder,176,,100,33,6.736572890025576,5.447691329832904,1.400000000000002,-1.9,38,32.36
4039,Krishnamurthy Siddharth,0.625,0.53125,top/middle,997,,123.08641975308642,,,2.2973759345530698,-67.7,,47,33.01
