player_id,player_name,career_is_capped,cap_prob_gb,cap_prob_gb_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,career_matches_played,career_age_years,venue_fit_score,runs_slope,wk_slope
1018,Pavan Deshpande,False,0.0024764468624720675,0.0017335128037304472,top/middle,505.0,,111.23348017621146,2.0,5.571428571428571,21.0,36.19,1.127123513512922,35.499999999999964,
1028,Varun Aaron,False,0.011287468511598826,0.007901227958119178,finishing allrounder,9.0,,112.5,5.0,7.253731343283582,7.0,36.08,112.5,,4.999999999999998
1030,Harshad Khadiwale,False,3.453163909686597e-07,2.4172147367806175e-07,opener,54.0,,101.88679245283019,,,4.0,37.1,101.88679245283019,,
1031,Chirag Pathak,False,0.0005499421157293957,0.00038495948101057695,opener,41.0,,89.1304347826087,,,2.0,38.81,89.1304347826087,,
1033,Paras Dogra,True,0.9992601166744635,0.6994820816721243,top/middle,93.0,,138.80597014925374,,,5.0,41.02,1.5505509460808125,-37.499999999999986,
1039,Mandeep Singh,True,0.9999998895900057,0.8499999061515049,top/middle,952.0,,141.66666666666666,1.0,8.074074074074074,41.0,33.94,2.4334962278136434,114.99999999999999,
1040,Harpreet Singh,True,0.9999997759583772,0.8499998095646206,top/middle,669.0,,129.40038684719536,,,23.0,34.29,2.576659523387728,72.1,
1045,David Wiese,False,0.0916742656175695,0.06417198593229864,finisher,21.0,,190.9090909090909,0.0,12.666666666666666,3.0,40.53,1.2543246692148966,,
1063,Colin Ingram,False,0.001511167524109285,0.0010578172668764994,top/middle,333.0,,133.2,,,9.0,40.4,5.079503836436582,,
107,Mohammad Hafeez,False,0.0414435557404416,0.029010489018309115,finishing allrounder,96.0,,126.3157894736842,5.0,6.2727272727272725,11.0,45.11,1.6911315197316654,,
1071,Jaydev Unadkat,True,0.9999999999975471,0.849999999997915,finishing allrounder,261.0,,120.27649769585254,69.0,7.592592592592593,59.0,34.11,1.19299458185669,-20.6,0.6000000000000001
1077,David Miller,True,0.999999999958985,0.6999999999712895,finisher,1878.0,,137.98677443056576,,,91.0,36.46,2.0209547880114327,-41.899999999999984,
1082,Cameron Delport,False,0.006343780432020045,0.004440646302414031,top/middle,89.0,,141.26984126984127,,,4.0,36.54,2.684349178253275,,
1086,Amit Paunikar,True,0.8617224833917494,0.6032057383742245,top/middle,45.0,,136.36363636363637,,,1.0,37.61,136.36363636363637,,
1089,Shafiul Islam,False,0.6069057760809073,0.4248340432566351,finishing allrounder,3.0,,33.333333333333336,5.0,9.664122137404581,7.0,36.14,0.712566048031257,,1.0
109,Wriddhiman Saha,True,0.9999999958508627,0.6999999970956039,opener,1100.0,,111.78861788617886,,,57.0,41.09,3.6447835296604407,38.999999999999986,
1100,Dinesh Chandimal,True,0.9993406190951951,0.6995384333666366,top/middle,187.0,,100.53763440860214,,,10.0,36.02,4.467067247823153,-21.19230769230769,
1104,Mohammad Shahzad,False,3.765142525536533e-05,2.635599767875573e-05,opener,127.0,,116.5137614678899,,,7.0,38.88,5.332772435007188,,
