player_id,SelectionScore,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope
44797,0.5851561214273575,6,0,600,9,6.776978417266187,600,0,0
20819,0.5388901424107754,604,0,123.77049180327867,71,7.297509829619921,5.95142023,130.99999999999994,9.999999999999996
5680,0.5248359564997837,537,0,129.3975903614458,80,6.920903955,4.856860288200398,16.2,-0.6
4027,0.5040509465424868,301,0,138.70967741935485,57,7.967532467532467,138.70967741935485,-39,8.999999999999998
5659,0.4862191829776589,323,0,156.03864734299518,61,7.674418604651163,2.6628725760164333,-13.1,0.3000000000000003
2257,0.4833263756314734,580,0,116.70020120724348,61,7.217948717948718,1.7964968014437954,15.3,3
6321,0.4786111816642867,683,0,122.1824686940966,59,6.316666666666666,1.3433674581231148,3.699999999999999,0.6999999999999997
5961,0.4671827003910775,371,0,170.1834862385321,47,8.445,1.2362571069395865,33.6,5.5
6643,0.46227710244487347,50,0,83.33333333333333,64,7.364093959731544,2.010228049305556,9.999999999999996,3.999999999999999
20866,0.4619701617371088,324,0,150.69767441860466,54,7.458715596330276,2.524260055016895,64.49999999999997,-2
2234,0.46052044609665427,6,0,600,0,0,600,0,0
2862,0.45927453829566545,1579,0,146.7472118959108,18,7.415929203539823,3.168797386853301,109.50000000000004,0.6285714285714283
6328,0.4526202270505165,122,0,169.44444444444446,41,6.996978851963746,169.44444444444446,41.99999999999999,-1.5
59688,0.4500861660917423,7,0,350,4,6.405405405405405,350,0,0
7125,0.4500746064673767,144,0,165.51724137931035,54,8.401554404145077,12.936773136874502,9.142857143,1
6356,0.447981306,73,0,121.66666666666669,54,8.075294118,21.15243343843777,13.899999999999997,3.1999999999999997
56661,0.44430841806846577,5,0,250,12,7.188679245283019,250,0,11.999999999999998
6554,0.43909008004955596,1458,0,145.36390827517448,1,4.615384615384615,3.209794099585199,113.42857142857142,0
6389,0.4386594635193583,64,0,108.47457627118644,59,7.053481331987891,1.8898190536169088,-5.2,-2.9
6591,0.4346121265450225,18,0,105.88235294117646,52,7.448840381991815,0.698870513,17.999999999999993,3.6
6494,0.4346101582816203,603,0,171.3068181818182,35,8.810408921933085,3.100982940324242,-54.1,1.4999999999999998
6240,0.4341112986681188,62,0,96.875,60,7.192592592592592,1.320319011414177,-1.7,1.0000000000000002
38655,0.4334102174157936,7,0,350,0,7.636363636363637,350,0,0
46060,0.43322246962628047,200,0,133.33333333333334,48,7.446575342465754,3.8064001335423456,10.999999999999998,-1
6971,0.42925744184067877,193,0,121.38364779874212,50,7.625316455696202,3.876373833103559,-10.4,-0.7
6237,0.4247290588620507,48,0,92.30769231,52,5.6680851063829785,2.1696999494218514,-0.2,-1.5
68407,0.42444542153912374,144,0,240,16,8.264705882352942,240,0,0
