player_id,player_name,cap_prob_model,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
5680,R Sonu Yadav,0.6165360687677605,finishing allrounder,537,,129.3975903614458,80,6.9209039548022595,4.856860288200398,16.2,-0.6,49,26.04
6494,Manoj Bhandage,0.6117555592435155,finishing allrounder,603,,171.3068181818182,35,8.810408921933085,3.100982940324242,-54.1,1.4999999999999998,43,27.14
2862,Sachin Baby,0.6103419648514226,batting allrounder,1579,,146.7472118959108,18,7.415929203539823,3.1687973868533015,109.50000000000003,0.6285714285714283,45,36.94
3281,Mosaddek Hossain,0.6062006497933666,finishing allrounder,528,,110.69182389937107,24,7.537735849056604,2.2366681022769463,-11.2,0.19999999999999993,48,29.96
20802,Abdul Basith,0.6042270440969315,finishing allrounder,722,,136.48393194706995,28,7.608695652173913,5.669537108637021,80.39999999999998,1.4999999999999982,45,27.13
5769,Codanda Karthik,0.6038969121719666,batting allrounder,552,,132.37410071942446,49,8.068322981,4.555410796744522,9.799999999999995,-2.5,36,32.13
2257,Chirag Jani,0.6023805595655315,finishing allrounder,580,,116.70020120724347,61,7.217948717948718,1.7964968014437954,15.3,3,39,36.05
2790,Praveen Dubey,0.5984929376122641,finishing allrounder,487,,146.24624624624624,31,7.924324324324324,2.3608371773065784,42.68571428571428,0.9999999999999998,38,32.41
4077,KL Shrijith,0.5947590312768467,top/middle,1489,,128.4728213977567,1,8,3.4699889062230422,7.300000000000003,,53,29.29
3451,Baba Indrajith,0.5939135886903005,top/middle,1086,,130.68592057761734,,,2.013965075281015,45.300000000000004,,50,31.39
20023,Karan Sharma,0.5922059423594431,opener,1495,,126.58763759525826,13,6.795698924731183,2.946720067671804,91.09999999999997,1.1,47,27.07
6321,Shubhang Hegde,0.5909724882042862,finishing allrounder,683,,122.1824686940966,59,6.316666666666666,1.3433674581231148,3.699999999999999,0.6999999999999997,50,24.66
6526,Himmat Singh,0.5899786074075339,top/middle,1038,,145.3781512605042,9,9.664429530201343,3.2424351204060384,94.30000000000001,4.999999999999998,41,29.05
4486,BR Sharath,0.5890792927281613,top/middle,964,,151.57232704402514,,,2.0253223646680842,65.30000000000001,,43,29.16
5659,Abhishek Tanwar,0.5871588076990313,finishing allrounder,323,,156.03864734299518,61,7.674418604651163,2.6628725760164333,-13.1,0.3000000000000003,40,34.11
43774,Shivam Singh,0.5809485329427702,top/middle,1049,,131.9496855345912,0,2.4,1.9572020194594544,86.59999999999997,,29,30.01
6971,Saravana Kumar P,0.5792670621333122,finishing allrounder,193,,121.38364779874213,50,7.625316455696202,3.8763738331035587,-10.4,-0.7,37,36.25
1600,Benny Howell,0.5758656548345287,finishing allrounder,449,,138.58024691358025,16,6.9553398058252425,6.0355494328437596,11.000000000000007,3.499999999999999,23,37.14
2218,Anamul Haque,0.575527229,top/middle,1282,,120.0374531835206,,,2.580377356844959,11.999999999999996,,50,32.94
4747,Mohammed Azharuddeen,0.5745276689305733,top/middle,1214,,154.8469387755102,,,1.4846353243550432,57.8,,36,31.68
5841,Nahidul Islam,0.5742813319755427,finishing allrounder,176,,100,33,6.736572890025576,5.447691329832904,1.400000000000002,-1.9,38,32.36
4325,Ashwin Hebbar,0.573794314,opener,1164,,145.3183520599251,0,13.161290322580646,4.163762526723528,96.29999999999998,,31,30.03
5882,Afif Hossain,0.5736448271896687,top/middle,1533,,116.4009111617312,4,8.627737226277372,2.537531540343742,-8.5,-8.78E-18,77,26.18
925,Aniruddha Joshi,0.5736391492857023,finisher,666,,131.10236220472441,4,7.25,2.9288230310440175,5.200000000000009,-0.2,42,38.05
6463,Shiva Singh,0.5723916930026594,finishing allrounder,358,,129.71014492753622,24,6.361809045,4.376000247469436,23.799999999999986,1.1999999999999997,41,26.11
6643,Hasan Mahmud,0.5719714168111435,finishing allrounder,50,,83.33333333333333,64,7.364093959731544,2.0102280493055558,9.999999999999996,3.9999999999999987,54,28.79
505,Mushfiqur Rahim,0.5717175569410107,top/middle,1245,,117.56373937677054,,,2.1313244133423197,37.00000000000002,,63,38.55
5991,Dharmendrasinh Jadeja,0.5714828227925934,finishing allrounder,184,,126.89655172413794,35,6.5244215938303345,3.8597862013895905,6.000000000000001,0.6000000000000004,37,35.31
2984,Sikandar Raza,0.571272665,finishing allrounder,431,,127.51479289940828,11,7.4297872340425535,3.492090611104807,3.0999999999999988,0.49999999999999983,20,39.59
2213,Soumya Sarkar,0.5708663177879378,top/middle,844,,109.6103896103896,9,8.815789474,5.813482130319726,27.100000000000016,0.10000000000000007,53,32.75
6554,Salman Nizar,0.5708090442661101,top/middle,1458,,145.36390827517448,1,4.615384615384615,3.209794099585199,113.42857142857142,,44,28.41
750,Thisara Perera,0.570762442,finishing allrounder,499,,149.84984984984985,24,8.085287846481876,7.307102639988273,7.099999999999999,-3.214285714,36,36.65
6237,Manimaran Siddharth,0.5699788283536248,finishing allrounder,48,,92.30769231,52,5.6680851063829785,2.1696999494218514,-0.2,-1.5,51,27.4
4026,Mohammed Taha,0.5697857439518308,opener,1204,,152.21238938053096,,,6.717864966,6.399999999999999,,41,32.07
4039,Krishnamurthy Siddharth,0.5690327042651497,top/middle,997,,123.08641975308642,,,2.2973759345530698,-67.7,,47,33.01
5957,Rohan Kunnummal,0.568093077,opener,1401,,154.63576158940398,,,5.224950003589459,150.7,,41,27.55
45989,Swastik Chikara,0.5676147513067161,opener,1388,,152.6952695269527,0,9.555555555555555,3.8517809828528473,-49.5,0,36,25.9
2800,Ganga Sridhar Raju,0.567109944,opener,968,,115.65113500597371,13,7.206030150753769,5.257892291739481,-36.6,0.085714286,39,32.59
7696,Mohammad Wasim,0.5661660296728244,finishing allrounder,101,,116.0919540229885,43,7.679706601466993,1.505618134511825,6.300000000000001,1.0999999999999999,36,24.25
5739,R Vivek,0.5660531231799072,batting allrounder,637,,141.8708240534521,10,7.949238578680203,11.413011091468618,-32.4,-1.142857143,37,34.46
